date,open,high,low,close
2020/04/28,0,0,0,"36,558"
2020/04/29,0,0,0,"38,439"
2020/04/30,0,0,0,"36,589"
2020/05/04,0,0,0,"36,610"
2020/05/05,0,0,0,"36,085"
2020/05/06,0,0,0,"39,969"
2020/05/07,0,0,0,"37,864"
2020/05/08,0,0,0,"37,088"
2020/05/11,0,0,0,"36,882"
2020/05/12,0,0,0,"38,547"
2020/05/13,0,0,0,"41,695"
2020/05/14,0,0,0,"38,753"
2020/05/15,0,0,0,"41,266"
2020/05/18,0,0,0,"35,957"
2020/05/19,0,0,0,"37,430"
2020/05/20,0,0,0,"36,013"
2020/05/21,0,0,0,"34,127"
2020/05/22,0,0,0,"33,253"
2020/05/25,0,0,0,"32,721"
2020/05/26,0,0,0,"34,198"
